DUID,STATIONID,STATIONNAME,NEM_REGION,NEM_ZONE,NODE,FUEL_TYPE,FUEL_CAT,EMISSIONS,SCHEDULE_TYPE,REG_CAP,MIN_GEN,RR_STARTUP,RR_SHUTDOWN,RR_UP,RR_DOWN,MIN_ON_TIME,MIN_OFF_TIME,SU_COST_COLD,SU_COST_WARM,SU_COST_HOT,VOM,HEAT_RATE,NL_FUEL_CONS,FC_2016-17,SRMC_2016-17,FOM_COST_ID,SOURCE,NOTES
WRWF1,WRWF1,White Rock Wind Farm,NSW1,NCEN,525,Wind,Wind,0,SEMI-SCHEDULED,175,0,900,180,900,180,1,1,875,525,350,0,3.6,0,0,0,BOCORWF1,NTNPD,No entry for WRWF1. Using BOCORWF1 instead. Both wind farms.
YWPS4,YALLOURN,YALLOURN 'W' POWER STATION,VIC1,LV,276,Brown coal,Fossil,1.44707,SCHEDULED,380,228,130,140,260,260,16,16,133000,45600,15200,1.02,15.31914894,0.1,0.61,10.36468085,YWPS4,NTNPD,
YWPS1,YALLOURN,YALLOURN 'W' POWER STATION,VIC1,LV,276,Brown coal,Fossil,1.44707,SCHEDULED,360,216,130,140,260,260,16,16,126000,43200,14400,0.99,15.31914894,0.1,0.61,10.33468085,YWPS1,NTNPD,
YWPS2,YALLOURN,YALLOURN 'W' POWER STATION,VIC1,LV,276,Brown coal,Fossil,1.44707,SCHEDULED,360,216,130,140,260,260,16,16,126000,43200,14400,1,15.31914894,0.1,0.61,10.34468085,YWPS2,NTNPD,
YWPS3,YALLOURN,YALLOURN 'W' POWER STATION,VIC1,LV,276,Brown coal,Fossil,1.44707,SCHEDULED,380,228,130,140,260,260,16,16,133000,45600,15200,1.01,15.31914894,0.1,0.61,10.35468085,YWPS3,NTNPD,
MP2,MP,MT PIPER POWER STATION,NSW1,NCEN,216,Black coal,Fossil,0.95395,SCHEDULED,700,294,140,210,310,310,8,8,245000,84000,28000,1,9.72972973,0.1,2.104,21.47135135,MP2,NTNPD,
MP1,MP,MT PIPER POWER STATION,NSW1,NCEN,216,Black coal,Fossil,0.95395,SCHEDULED,700,294,140,210,310,310,8,8,245000,84000,28000,1,9.72972973,0.1,2.104,21.47135135,MP1,NTNPD,
BOCORWF1,BOCOROCK,Boco Rock Wind Farm,NSW1,CAN,16,Wind,Wind,0,SEMI-SCHEDULED,113,0,620,600,630,620,1,1,565,339,226,0,3.6,0,0,0,BOCORWF1,NTNPD,
JLB02,JEERB,"Jeeralang ""B"" Power Station",VIC1,LV,280,Natural Gas (Pipeline),Fossil,0.90578,SCHEDULED,76,0,360,360,360,360,1,1,7600,7600,7600,10.4,15.72052402,0.3,6.705029246,115.8065733,JLB02,NTNPD,
JLB03,JEERB,"Jeeralang ""B"" Power Station",VIC1,LV,280,Natural Gas (Pipeline),Fossil,0.90578,SCHEDULED,76,0,360,360,360,360,1,1,7600,7600,7600,10.4,15.72052402,0.3,6.705029246,115.8065733,JLB03,NTNPD,
JLB01,JEERB,"Jeeralang ""B"" Power Station",VIC1,LV,280,Natural Gas (Pipeline),Fossil,0.90578,SCHEDULED,76,0,360,360,360,360,1,1,7600,7600,7600,10.4,15.72052402,0.3,6.705029246,115.8065733,JLB01,NTNPD,
REECE2,REECE,Reece Power Station,TAS1,TAS,829,Hydro,Hydro,0,SCHEDULED,116,0,880,890,1800,1800,1,1,580,348,232,7,0,0,0,7,REECE2,NTNPD,
REECE1,REECE,Reece Power Station,TAS1,TAS,829,Hydro,Hydro,0,SCHEDULED,116,0,880,890,1800,1800,1,1,580,348,232,7,0,0,0,7,REECE1,NTNPD,
LI_WY_CA,LI_WY_CA,Catagunya / Liapootah / Wayatinah Power Station,TAS1,TAS,87,Hydro,Hydro,0,SCHEDULED,170,0,940,940,2480,2480,1,1,850,510,340,7,0,0,0,7,REECE1,NTNPD,No entry for LI_WY_CA. Using REECE1 instead. Both hydro with similar capacity.
BRAEMAR1,BRAEMARA,Braemar Power Station,QLD1,SWQ,661,Coal seam methane,Fossil,0.66977,SCHEDULED,168,0,430,430,460,460,1,1,16800,16800,16800,10.4,12,0.3,5.745362791,79.34435349,BRAEMAR1,NTNPD,
BRAEMAR2,BRAEMARA,Braemar Power Station,QLD1,SWQ,661,Coal seam methane,Fossil,0.66977,SCHEDULED,168,0,430,430,460,460,1,1,16800,16800,16800,10.4,12,0.3,5.745362791,79.34435349,BRAEMAR2,NTNPD,
BRAEMAR3,BRAEMARA,Braemar Power Station,QLD1,SWQ,661,Coal seam methane,Fossil,0.66977,SCHEDULED,168,0,430,430,460,460,1,1,16800,16800,16800,10.4,12,0.3,5.745362791,79.34435349,BRAEMAR3,NTNPD,
LD04,LIDDELL,Liddell Power Station,NSW1,NCEN,245,Black coal,Fossil,1.02962,SCHEDULED,500,219.047619,120,100,240,180,8,8,175000,60000,20000,1,10.65088757,0.1,1.463,16.58224851,LD04,NTNPD,
LD03,LIDDELL,Liddell Power Station,NSW1,NCEN,245,Black coal,Fossil,1.02962,SCHEDULED,500,219.047619,120,100,240,180,8,8,175000,60000,20000,1,10.65088757,0.1,1.463,16.58224851,LD03,NTNPD,
LD01,LIDDELL,Liddell Power Station,NSW1,NCEN,245,Black coal,Fossil,1.02962,SCHEDULED,500,219.047619,120,100,240,180,8,8,175000,60000,20000,1,10.65088757,0.1,1.463,16.58224851,LD01,NTNPD,
LD02,LIDDELL,Liddell Power Station,NSW1,NCEN,245,Black coal,Fossil,1.02962,SCHEDULED,500,219.047619,120,100,240,180,8,8,175000,60000,20000,1,10.65088757,0.1,1.463,16.58224851,LD02,NTNPD,
