DUID,STATIONID,STATIONNAME,NEM_REGION,NEM_ZONE,NODE,FUEL_TYPE,FUEL_CAT,EMISSIONS,SCHEDULE_TYPE,REG_CAP,MIN_GEN,RR_STARTUP,RR_SHUTDOWN,RR_UP,RR_DOWN,MIN_ON_TIME,MIN_OFF_TIME,SU_COST_COLD,SU_COST_WARM,SU_COST_HOT,VOM,HEAT_RATE,NL_FUEL_CONS,FC_2016-17,SRMC_2016-17,FUEL_COST_ID,SOURCE,COST_TYPE,NOTES
WRWF1,WRWF1,White Rock Wind Farm,NSW1,NCEN,525,Wind,Wind,0,SEMI-SCHEDULED,175,0,900,180,900,180,1,1,875,525,350,0,3.6,0,0,0,,,,
YWPS4,YALLOURN,YALLOURN 'W' POWER STATION,VIC1,LV,276,Brown coal,Fossil,1.44707,SCHEDULED,380,228,130,140,260,260,16,16,133000,45600,15200,1.02,15.31914894,0.1,0.61,10.36468085,Yallourn,NTNDP,COAL,
YWPS1,YALLOURN,YALLOURN 'W' POWER STATION,VIC1,LV,276,Brown coal,Fossil,1.44707,SCHEDULED,360,216,130,140,260,260,16,16,126000,43200,14400,0.99,15.31914894,0.1,0.61,10.33468085,Yallourn,NTNDP,COAL,
YWPS2,YALLOURN,YALLOURN 'W' POWER STATION,VIC1,LV,276,Brown coal,Fossil,1.44707,SCHEDULED,360,216,130,140,260,260,16,16,126000,43200,14400,1,15.31914894,0.1,0.61,10.34468085,Yallourn,NTNDP,COAL,
YWPS3,YALLOURN,YALLOURN 'W' POWER STATION,VIC1,LV,276,Brown coal,Fossil,1.44707,SCHEDULED,380,228,130,140,260,260,16,16,133000,45600,15200,1.01,15.31914894,0.1,0.61,10.35468085,Yallourn,NTNDP,COAL,
MP2,MP,MT PIPER POWER STATION,NSW1,NCEN,216,Black coal,Fossil,0.95395,SCHEDULED,700,294,140,210,310,310,8,8,245000,84000,28000,1,9.72972973,0.1,2.104,21.47135135,Delta Western,NTNDP,COAL,Assuming Delta Western is coal fuel cost ID. Mt Piper operated by Delta Electricity.
MP1,MP,MT PIPER POWER STATION,NSW1,NCEN,216,Black coal,Fossil,0.95395,SCHEDULED,700,294,140,210,310,310,8,8,245000,84000,28000,1,9.72972973,0.1,2.104,21.47135135,Delta Western,NTNDP,COAL,Assuming Delta Western is coal fuel cost ID. Mt Piper operated by Delta Electricity.
BOCORWF1,BOCOROCK,Boco Rock Wind Farm,NSW1,CAN,16,Wind,Wind,0,SEMI-SCHEDULED,113,0,620,600,630,620,1,1,565,339,226,0,3.6,0,0,0,,,,
AGLHAL,AGLHAL,Hallett Power Station,SA1,NSA,9,Natural Gas (Pipeline),Fossil,1.18618,SCHEDULED,180,0,600,600,600,600,1,1,18000,18000,18000,10.4,15,0.3,6.319350734,105.190261,NSA OCGT,NTNDP,GAS,Hallet Power Station is in NSA and is an OCGT generator.
AGLSOM,AGLSOM,Somerton Power Station,VIC1,MEL,194,Natural Gas (Pipeline),Fossil,0.82609,SCHEDULED,170,0,600,600,600,600,1,1,17000,17000,17000,10.4,15,0.3,6.652307128,110.1846069,MEL OCGT,NTNDP,GAS,Somerton Power Station is in MEL and is an OCGT generator.
ANGAST1,ANGASTON,ANGASTON POWER STATION,SA1,NSA,294,Diesel oil,Fossil,0.657,SCHEDULED,50,0,180,180,180,180,1,1,5000,5000,5000,10.88332,13.84615385,0.3,8.582270557,129.7147585,Liquid Fuel,ACIL,LIQUID,
REECE2,REECE,Reece Power Station,TAS1,TAS,829,Hydro,Hydro,0,SCHEDULED,116,0,880,890,1800,1800,1,1,580,348,232,7,0,0,0,7,,,,
REECE1,REECE,Reece Power Station,TAS1,TAS,829,Hydro,Hydro,0,SCHEDULED,116,0,880,890,1800,1800,1,1,580,348,232,7,0,0,0,7,,,,
LI_WY_CA,LI_WY_CA,Catagunya / Liapootah / Wayatinah Power Station,TAS1,TAS,87,Hydro,Hydro,0,SCHEDULED,170,0,940,940,2480,2480,1,1,850,510,340,7,0,0,0,7,,,,
BARCALDN,BARCALDN,Barcaldine Power Station,QLD1,CQ,170,Natural Gas (Pipeline),Fossil,1.11024,SCHEDULED,37,0,180,180,180,180,4,4,3700,3700,3700,10.4,12.85714286,0.3,6.6,95.25714288,Barcaldine,NTNDP,GAS,
BBTHREE1,BBP31,Bell Bay Three Power Station,TAS1,TAS,778,Natural Gas (Pipeline),Fossil,0.68462,SCHEDULED,35,0,600,600,600,600,1,1,3500,3500,3500,10.4,12.4137931,0.3,6.617023256,92.54235764,Bell Bay Three,NTNDP,GAS,
BBTHREE2,BBP31,Bell Bay Three Power Station,TAS1,TAS,778,Natural Gas (Pipeline),Fossil,0.68462,SCHEDULED,35,0,600,600,600,600,1,1,3500,3500,3500,10.4,12.4137931,0.3,6.617023256,92.54235764,Bell Bay Three,NTNDP,GAS,
LD04,LIDDELL,Liddell Power Station,NSW1,NCEN,245,Black coal,Fossil,1.02962,SCHEDULED,500,219.047619,120,100,240,180,8,8,175000,60000,20000,1,10.65088757,0.1,1.463,16.58224851,Macquarie Generation_Liddell,NTNDP,COAL,
LD03,LIDDELL,Liddell Power Station,NSW1,NCEN,245,Black coal,Fossil,1.02962,SCHEDULED,500,219.047619,120,100,240,180,8,8,175000,60000,20000,1,10.65088757,0.1,1.463,16.58224851,Macquarie Generation_Liddell,NTNDP,COAL,
LD01,LIDDELL,Liddell Power Station,NSW1,NCEN,245,Black coal,Fossil,1.02962,SCHEDULED,500,219.047619,120,100,240,180,8,8,175000,60000,20000,1,10.65088757,0.1,1.463,16.58224851,Macquarie Generation_Liddell,NTNDP,COAL,
LD02,LIDDELL,Liddell Power Station,NSW1,NCEN,245,Black coal,Fossil,1.02962,SCHEDULED,500,219.047619,120,100,240,180,8,8,175000,60000,20000,1,10.65088757,0.1,1.463,16.58224851,Macquarie Generation_Liddell,NTNDP,COAL,
