DUID,NEM_ZONE,STATIONNAME,BUBBLE
WRWF1,NCEN,White Rock Wind Farm,NEN
BOCORWF1,CAN,Boco Rock Wind Farm,SEN
GULLRWF1,CAN,Gullen Range Wind Farm,MRN
BLUFF1,NSA,The Bluff Wind Farm,MNS
TARALGA1,NCEN,Taralga Wind Farm,MRN
LKBONNY2,SESA,Lake Bonney Stage 2 Windfarm,CS
LKBONNY3,SESA,Lake Bonney Stage 3 Wind Farm,CS
OAKLAND1,MEL,Oaklands Hill Wind Farm,NWV
MUSSELR1,TAS,Musselroe Wind Farm,NET
GUNNING1,CAN,Gunning Wind Farm,MRN
NBHWF1,NSA,North Brown Hill Wind Farm,SWV
CLEMGPWF,NSA,Clements Gap Wind Farm,MNS
WOODLWN1,CAN,Woodlawn Wind Farm,MRN
HALLWF1,NSA,Hallett 1 Wind Farm,MNS
HDWF2,NSA,Hornsdale Wind Farm 2,MNS
HDWF1,NSA,Hornsdale Wind Farm,MNS
HALLWF2,NSA,Hallett 2 Wind Farm,MNS
MACARTH1,MEL,Macarthur Wind Farm,SWV
WATERLWF,NSA,Waterloo Wind Farm,MNS
ARWF1,CVIC,Ararat Wind Farm,NWV
SNOWSTH1,NSA,Snowtown South Wind Farm,MNS
SNOWTWN1,NSA,Snowtown Wind Farm Units 1 And 47,MNS
BALDHWF1,MEL,Bald Hills Wind Farm,SEV
SNOWNTH1,NSA,Snowtown Wind Farm Stage 2 North,MNS
MERCER01,MEL,Mt Mercer Wind Farm,SWV
