BUBBLE_ID,FILE,COMMENT
FNQ,Bubble FNQ 2014-2045_0910refyr.csv,
NQ,Bubble FNQ 2014-2045_0910refyr.csv,no data - closest bubble is FNQ
CQ,Bubble SWQ Wind 2014-2045_0910refyr.csv,no data - closest bubble is SWQ
SWQ,Bubble SWQ Wind 2014-2045_0910refyr.csv,
NEN,Bubble NEN Wind 2014-2045_0910refyr.csv,
HUN,Bubble HUN Wind 2014-2045_0910refyr.csv,
WEN,Bubble WEN 2014-2045_0910refyr.csv,
MRN,GULLRWF1_REF_2014.csv,
SEN,BOCORWF1_REF_2014.csv,
MUN,Bubble MUN Wind 2014-2045_0910refyr.csv,
FWN,Bubble FWN 2014-2045_0910refyr.csv,
NWV,WAUBRAWF_REF_2014.csv,
SWV,WAUBRAWF_REF_2014.csv,no data - closest bubble is NWV
CS,PORTWF_REF_2014.csv,
SEV,BALDHWF1_REF_2014.csv,
NET,MUSSELR1_REF_2014.csv,
NWT,WOOLNTH1_REF_2014.csv,
WCT,Bubble WCT Wind 2014-2045_0910refyr.csv,
ST,Bubble ST Wind 2014-2045_0910refyr.csv,
FLS,STARHLWF_REF_2014.csv,
MNS,SNOWTWN1_REF_2014.csv,
YPS,WPWF_REF_2014.csv,
EPS,CATHROCK_REF_2014.csv,
WCS,Bubble WCS Wind 2014-2045_0910refyr.csv,
