,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,ZONE
ADE-STORAGE,3336.8,2813.2,2468.576,2194.4,1861.2,1766,1756.48,1723.16,1689.84,1656.52,1623.2,1597.813333,1561.848889,1530.468148,1499.322469,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,ADE
CAN-STORAGE,3336.8,2813.2,2468.576,2194.4,1861.2,1766,1756.48,1723.16,1689.84,1656.52,1623.2,1597.813333,1561.848889,1530.468148,1499.322469,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,CAN
CQ-STORAGE,3336.8,2813.2,2468.576,2194.4,1861.2,1766,1756.48,1723.16,1689.84,1656.52,1623.2,1597.813333,1561.848889,1530.468148,1499.322469,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,CQ
CVIC-STORAGE,3336.8,2813.2,2468.576,2194.4,1861.2,1766,1756.48,1723.16,1689.84,1656.52,1623.2,1597.813333,1561.848889,1530.468148,1499.322469,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,CVIC
LV-STORAGE,3336.8,2813.2,2468.576,2194.4,1861.2,1766,1756.48,1723.16,1689.84,1656.52,1623.2,1597.813333,1561.848889,1530.468148,1499.322469,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,LV
MEL-STORAGE,3336.8,2813.2,2468.576,2194.4,1861.2,1766,1756.48,1723.16,1689.84,1656.52,1623.2,1597.813333,1561.848889,1530.468148,1499.322469,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,MEL
NCEN-STORAGE,3336.8,2813.2,2468.576,2194.4,1861.2,1766,1756.48,1723.16,1689.84,1656.52,1623.2,1597.813333,1561.848889,1530.468148,1499.322469,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,NCEN
NNS-STORAGE,3336.8,2813.2,2468.576,2194.4,1861.2,1766,1756.48,1723.16,1689.84,1656.52,1623.2,1597.813333,1561.848889,1530.468148,1499.322469,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,NNS
NQ-STORAGE,3336.8,2813.2,2468.576,2194.4,1861.2,1766,1756.48,1723.16,1689.84,1656.52,1623.2,1597.813333,1561.848889,1530.468148,1499.322469,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,NQ
NSA-STORAGE,3336.8,2813.2,2468.576,2194.4,1861.2,1766,1756.48,1723.16,1689.84,1656.52,1623.2,1597.813333,1561.848889,1530.468148,1499.322469,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,NSA
NVIC-STORAGE,3336.8,2813.2,2468.576,2194.4,1861.2,1766,1756.48,1723.16,1689.84,1656.52,1623.2,1597.813333,1561.848889,1530.468148,1499.322469,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,NVIC
SEQ-STORAGE,3336.8,2813.2,2468.576,2194.4,1861.2,1766,1756.48,1723.16,1689.84,1656.52,1623.2,1597.813333,1561.848889,1530.468148,1499.322469,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,SEQ
SESA-STORAGE,3336.8,2813.2,2468.576,2194.4,1861.2,1766,1756.48,1723.16,1689.84,1656.52,1623.2,1597.813333,1561.848889,1530.468148,1499.322469,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,SESA
SWNSW-STORAGE,3336.8,2813.2,2468.576,2194.4,1861.2,1766,1756.48,1723.16,1689.84,1656.52,1623.2,1597.813333,1561.848889,1530.468148,1499.322469,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,SWNSW
SWQ-STORAGE,3336.8,2813.2,2468.576,2194.4,1861.2,1766,1756.48,1723.16,1689.84,1656.52,1623.2,1597.813333,1561.848889,1530.468148,1499.322469,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,SWQ
TAS-STORAGE,3336.8,2813.2,2468.576,2194.4,1861.2,1766,1756.48,1723.16,1689.84,1656.52,1623.2,1597.813333,1561.848889,1530.468148,1499.322469,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,1468.180708,TAS
