,NCEN,LV,CAN,TAS,SWQ,MEL,CQ,ADE,SWNSW,NQ,NSA,NVIC,SEQ,NNS,SESA,CVIC
BIOMASS,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,100.0,0.0,100.0,300.0,0.0
CCGT-CCS,99999.0,99999.0,0.0,0.0,99999.0,0.0,99999.0,0.0,0.0,99999.0,0.0,0.0,99999.0,99999.0,0.0,0.0
CCGT,99999.0,99999.0,0.0,99999.0,99999.0,0.0,99999.0,0.0,0.0,99999.0,0.0,0.0,99999.0,99999.0,99999.0,0.0
SOLAR,4000.0,0.0,4000.0,0.0,4000.0,0.0,4000.0,0.0,0.0,4000.0,4000.0,0.0,4000.0,4000.0,0.0,4000.0
INTEGRATED-SOLAR,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0
STORAGE,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
OCGT,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0
PUMPED-HYDRO,0.0,0.0,500.0,200.0,500.0,0.0,500.0,0.0,0.0,500.0,0.0,500.0,500.0,0.0,300.0,0.0
COAL-SC-CCS BLACK-COAL,0.0,0.0,0.0,0.0,99999.0,0.0,99999.0,0.0,0.0,99999.0,0.0,0.0,99999.0,99999.0,0.0,0.0
COAL-SC BLACK-COAL,0.0,0.0,0.0,0.0,99999.0,0.0,99999.0,0.0,0.0,99999.0,0.0,0.0,99999.0,99999.0,0.0,0.0
COAL-SC-CCS BROWN-COAL,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COAL-SC BROWN-COAL,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WAVE,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
WIND,1000.0,500.0,2000.0,1500.0,1000.0,500.0,0.0,0.0,1500.0,500.0,1000.0,0.0,0.0,1000.0,500.0,2000.0
